Coach_Name,SeasG,SeasW,SeasL,FranG,FranW,FranL,CareW,CareL,CareWP,POSeasG,POSeasW,POSeasL,POFranG,POFranW,POFranL,POCareG,POCareW,POCareL,Team_ID
Steve Kerr,82,58,24,328,265,63,265,63,0.808,21.0,16.0,5.0,83.0,63.0,20.0,83.0,63.0,20.0,1610612744
Mike D'Antoni,82,65,17,164,120,44,575,470,0.55,17.0,11.0,6.0,28.0,17.0,11.0,87.0,43.0,44.0,1610612745
Alvin Gentry,82,48,34,246,112,134,447,504,0.47,9.0,5.0,4.0,9.0,5.0,4.0,30.0,17.0,13.0,1610612740
Dwane Casey,82,59,23,558,320,238,373,307,0.549,10.0,4.0,6.0,51.0,21.0,30.0,51.0,21.0,30.0,1610612761
Tyronn Lue,82,50,32,205,128,77,128,77,0.624,22.0,12.0,10.0,61.0,41.0,20.0,61.0,41.0,20.0,1610612739
Mike Malone,82,46,36,246,119,127,158,194,0.449,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0,1610612743
Brett Brown,82,52,30,410,127,283,127,283,0.31,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,1610612755
Tom Thibodeau,82,47,35,164,78,86,333,225,0.597,5.0,1.0,4.0,5.0,1.0,4.0,56.0,24.0,32.0,1610612750
Doc Rivers,82,42,40,410,259,151,846,624,0.576,8.0,3.5,4.0,40.0,18.0,22.0,161.0,82.0,79.0,1610612746
Steve Clifford,82,36,46,410,196,214,196,214,0.478,8.0,3.5,4.0,11.0,3.0,8.0,11.0,3.0,8.0,1610612766
Luke Walton,82,35,47,164,61,103,61,103,0.372,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0,1610612747
Billy Donovan,82,48,34,246,150,96,150,96,0.61,6.0,2.0,4.0,29.0,14.0,15.0,29.0,14.0,15.0,1610612760
Scott Brooks,82,43,39,164,92,72,430,279,0.606,6.0,2.0,4.0,19.0,9.0,10.0,92.0,48.0,44.0,1610612764
Kenny Atkinson,82,28,54,164,48,116,48,116,0.293,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0,1610612751
Jason Kidd,45,23,22,291,139,152,183,190,0.491,8.0,3.5,4.0,12.0,4.0,8.0,24.0,9.0,15.0,1610612749
Terry Stotts,82,49,33,492,272,220,387,388,0.499,4.0,0.0,4.0,35.0,11.0,24.0,40.0,12.0,28.0,1610612757
Nate McMillan,82,48,34,164,90,74,568,526,0.519,7.0,3.0,4.0,11.0,3.0,8.0,45.0,17.0,28.0,1610612754
Jeff Hornacek,82,29,53,164,60,104,161,216,0.427,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0,1610612752
Quin Snyder,82,48,34,328,177,151,177,151,0.54,11.0,5.0,6.0,22.0,9.0,13.0,22.0,9.0,13.0,1610612762
Brad Stevens,82,55,27,410,221,189,221,189,0.539,19.0,11.0,8.0,47.0,22.0,25.0,47.0,22.0,25.0,1610612738
Earl Watson,3,0,3,118,33,85,33,85,0.28,8.0,3.5,4.0,25.0,10.0,12.0,45.0,17.0,22.0,1610612756
Stan Van Gundy,82,39,43,328,152,176,523,384,0.577,8.0,3.5,4.0,4.0,0.0,4.0,91.0,48.0,43.0,1610612765
Erik Spoelstra,82,44,38,804,484,320,484,320,0.602,5.0,1.0,4.0,118.0,71.0,47.0,118.0,71.0,47.0,1610612748
Frank Vogel,82,25,57,164,54,110,304,291,0.511,8.0,3.5,4.0,25.0,10.0,12.0,61.0,31.0,30.0,1610612753
Mike Budenholzer,82,24,58,410,213,197,213,197,0.52,8.0,3.5,4.0,39.0,17.0,22.0,39.0,17.0,22.0,1610612737
Fred Hoiberg,82,27,55,246,110,136,110,136,0.447,8.0,3.5,4.0,6.0,2.0,4.0,6.0,2.0,4.0,1610612741
Gregg Popovich,82,47,35,1738,1197,541,1197,541,0.689,5.0,1.0,4.0,277.0,167.0,110.0,277.0,167.0,110.0,1610612759
Rick Carlisle,82,24,58,804,437,367,718,578,0.554,8.0,3.5,4.0,58.0,28.0,30.0,120.0,58.0,62.0,1610612742
David Fizdale,19,7,12,101,50,51,50,51,0.495,8.0,3.5,4.0,6.0,2.0,4.0,6.0,2.0,4.0,1610612763
Dave Joerger,82,27,55,164,59,105,206,204,0.502,8.0,3.5,4.0,25.0,10.0,12.0,22.0,9.0,13.0,1610612758
