Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Precious Achiuwa;9.2;7.3;0.9;4.1;1.8;0.6;0.5;1.1
Steven Adams;8.6;6.3;2.3;6.5;5.1;0.9;1.1;1.9
Bam Adebayo;20.4;14.9;3.2;6.7;2.5;1.2;0.8;2.5
Ochai Agbaji;7.9;6.5;1.1;1.3;0.7;0.3;0.3;0.7
Santi Aldama;9.0;6.8;1.3;3.7;1.1;0.6;0.6;0.8
Nickeil Alexander-Walker;6.2;5.0;1.8;1.5;0.3;0.5;0.4;0.9
Nickeil Alexander-Walker;6.3;4.7;2.1;1.4;0.2;0.7;0.4;1.3
Nickeil Alexander-Walker;5.9;5.4;1.4;1.5;0.3;0.3;0.3;0.4
Grayson Allen;10.4;7.7;2.3;2.4;0.8;0.9;0.2;1.0
Jarrett Allen;14.3;9.2;1.7;6.5;3.3;0.8;1.2;1.4
Jose Alvarado;9.0;8.0;3.0;1.9;0.5;1.1;0.2;1.3
Kyle Anderson;9.4;7.2;4.9;4.4;1.0;1.1;0.9;1.5
Giannis Antetokounmpo;31.1;20.3;5.7;9.6;2.2;0.8;0.8;3.9
Thanasis Antetokounmpo;1.4;1.2;0.4;0.8;0.4;0.1;0.1;0.3
Cole Anthony;13.0;10.2;3.9;4.0;0.8;0.6;0.5;1.5
OG Anunoby;16.8;13.2;2.0;3.5;1.4;1.9;0.7;2.0
Ryan Arcidiacono;1.3;1.9;1.2;0.8;0.0;0.3;0.0;0.4
Ryan Arcidiacono;0.3;0.5;0.2;0.4;0.0;0.2;0.0;0.1
Ryan Arcidiacono;2.6;3.6;2.3;1.2;0.0;0.3;0.0;0.7
Deni Avdija;9.2;7.6;2.8;5.4;1.0;0.9;0.4;1.6
Deandre Ayton;18.0;13.2;1.7;7.4;2.6;0.6;0.8;1.8
Udoka Azubuike;3.5;2.0;0.3;2.4;0.9;0.2;0.4;0.5
Marvin Bagley III;12.0;9.1;0.9;4.2;2.2;0.5;0.7;1.1
Patrick Baldwin Jr.;3.9;3.5;0.4;1.3;0.0;0.2;0.1;0.4
LaMelo Ball;23.3;20.0;8.4;5.3;1.2;1.3;0.3;3.6
Mo Bamba;6.6;4.9;0.9;3.4;1.2;0.3;0.9;0.6
Mo Bamba;7.3;5.4;1.1;3.4;1.2;0.3;1.0;0.6
Mo Bamba;3.7;3.0;0.4;3.3;1.2;0.1;0.6;0.9
Paolo Banchero;20.0;15.6;3.7;5.7;1.2;0.8;0.5;2.8
Desmond Bane;21.5;16.2;4.4;4.3;0.7;1.0;0.4;2.2
Dalano Banton;4.6;4.2;1.2;1.1;0.4;0.4;0.4;0.6
Dominick Barlow;3.9;3.1;0.9;2.0;1.6;0.4;0.7;0.5
Harrison Barnes;15.0;9.6;1.6;3.4;1.1;0.7;0.1;1.0
Scottie Barnes;15.3;13.2;4.8;4.3;2.3;1.1;0.8;2.0
RJ Barrett;19.6;16.1;2.8;4.2;0.8;0.4;0.2;2.2
Will Barton;6.8;6.5;2.0;2.2;0.3;0.5;0.2;0.9
Will Barton;7.7;7.1;2.4;2.5;0.3;0.4;0.3;1.1
Will Barton;4.5;4.9;1.1;1.3;0.3;0.7;0.2;0.2
Charles Bassey;5.7;3.9;1.3;3.4;2.1;0.5;0.9;1.2
Keita Bates-Diop;9.7;6.9;1.5;2.7;1.0;0.7;0.3;0.8
Nicolas Batum;6.1;4.9;1.6;3.0;0.8;0.7;0.6;0.6
Darius Bazley;5.2;4.3;0.9;2.4;0.8;0.5;0.8;0.6
Darius Bazley;5.4;4.4;0.9;2.6;0.8;0.5;0.8;0.6
Darius Bazley;4.0;3.6;0.9;1.6;0.7;0.4;0.7;0.7
Bradley Beal;23.2;17.6;5.4;3.1;0.8;0.9;0.7;2.9
Malik Beasley;12.7;11.6;1.5;3.1;0.4;0.8;0.1;1.1
Malik Beasley;13.4;12.2;1.7;3.1;0.5;0.8;0.1;1.1
Malik Beasley;11.1;10.3;1.2;3.0;0.3;0.8;0.0;1.2
MarJon Beauchamp;5.1;4.7;0.7;1.5;0.7;0.4;0.1;0.9
DÄÅvis BertÄÅns;4.6;3.6;0.5;1.0;0.2;0.2;0.2;0.2
Patrick Beverley;6.2;5.4;2.9;3.0;0.7;0.9;0.6;0.9
Patrick Beverley;6.4;5.4;2.6;2.6;0.5;0.9;0.6;0.9
Patrick Beverley;5.8;5.4;3.5;4.0;0.9;1.0;0.7;0.8
Saddiq Bey;13.8;10.9;1.5;3.4;1.3;0.9;0.2;0.9
Saddiq Bey;14.8;11.7;1.6;3.5;1.1;1.0;0.2;1.0
Saddiq Bey;11.6;9.2;1.4;3.2;1.6;0.8;0.0;0.7
Khem Birch;2.2;1.6;0.4;0.9;0.4;0.3;0.3;0.4
Goga Bitadze;4.4;3.3;1.0;2.0;1.6;0.4;0.7;0.6
Goga Bitadze;3.3;2.5;0.9;1.1;1.2;0.4;0.5;0.6
Goga Bitadze;5.8;4.3;1.2;3.1;2.1;0.4;0.9;0.6
Bismack Biyombo;4.3;3.4;0.9;2.8;1.5;0.3;1.4;0.8
Buddy Boeheim;1.6;2.7;0.4;0.4;0.2;0.2;0.0;0.0
Bogdan BogdanoviÄá;14.0;11.3;2.8;2.6;0.4;0.8;0.3;1.2
Bojan BogdanoviÄá;21.6;14.9;2.6;3.2;0.6;0.6;0.1;2.3
Bol Bol;9.1;6.8;1.0;4.8;1.0;0.4;1.2;1.6
Leandro Bolmaro;0.4;1.4;0.5;0.2;0.3;0.2;0.1;0.5
Devin Booker;27.8;20.1;5.5;3.7;0.9;1.0;0.3;2.7
Brandon Boston Jr.;6.5;5.5;0.9;1.0;0.3;0.4;0.0;0.5
Chris Boucher;9.4;7.0;0.4;3.5;2.1;0.6;0.8;0.5
James Bouknight;5.6;5.7;1.2;1.9;0.2;0.4;0.1;0.9
Jamaree Bouyea;3.0;2.8;0.8;1.0;0.2;0.8;0.4;0.8
Jamaree Bouyea;3.8;3.3;1.0;1.0;0.3;1.0;0.5;1.0
Jamaree Bouyea;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
Tony Bradley;1.6;1.0;0.1;0.8;0.1;0.1;0.1;0.1
Malaki Branham;10.2;9.3;1.9;2.3;0.4;0.5;0.1;1.2
Jarrell Brantley;5.5;3.5;0.8;1.3;0.3;0.0;0.5;0.5
Christian Braun;4.7;3.8;0.8;1.8;0.6;0.5;0.2;0.5
Mikal Bridges;20.1;15.3;3.3;3.4;1.0;1.1;0.7;1.5
Mikal Bridges;17.2;13.6;3.6;3.3;1.0;1.2;0.8;1.4
Mikal Bridges;26.1;18.6;2.7;3.6;0.9;1.0;0.6;1.8
Oshae Brissett;6.1;4.9;0.7;2.4;1.0;0.5;0.2;0.5
Malcolm Brogdon;14.9;10.9;3.7;3.6;0.6;0.7;0.3;1.5
Dillon Brooks;14.3;13.6;2.6;2.7;0.6;0.9;0.2;1.4
Bruce Brown;11.5;9.3;3.4;3.3;0.8;1.1;0.6;1.5
Greg Brown III;1.8;1.8;0.2;1.1;0.1;0.3;0.3;0.4
Jaylen Brown;26.6;20.6;3.5;5.7;1.2;1.1;0.4;2.9
Kendall Brown;1.5;1.2;0.5;0.7;0.3;0.7;0.0;0.3
Moses Brown;4.3;2.7;0.1;2.3;1.6;0.1;0.4;0.4
Moses Brown;4.6;2.8;0.1;2.4;1.7;0.1;0.4;0.4
Moses Brown;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5
Sterling Brown;0.0;1.0;0.5;1.3;0.8;0.8;0.0;0.0
Troy Brown Jr.;7.1;6.1;1.3;3.2;0.8;0.8;0.2;0.6
Jalen Brunson;24.0;17.6;6.2;3.0;0.6;0.9;0.2;2.1
Thomas Bryant;9.8;6.3;0.5;4.3;1.5;0.3;0.5;0.6
Thomas Bryant;12.1;7.3;0.7;5.2;1.6;0.3;0.6;0.7
Thomas Bryant;4.6;3.8;0.1;2.3;1.1;0.1;0.4;0.6
Reggie Bullock;7.2;6.0;1.4;3.2;0.4;0.7;0.2;0.5
Alec Burks;12.8;9.0;2.2;2.7;0.4;0.7;0.2;1.1
Deonte Burton;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Jared Butler;6.2;5.3;1.3;0.5;0.2;0.8;0.0;0.8
Jimmy Butler;22.9;13.9;5.3;3.7;2.2;1.8;0.3;1.6
John Butler;2.4;2.8;0.6;0.7;0.2;0.4;0.5;0.1
Jamal Cain;5.4;3.7;0.7;2.1;0.8;0.6;0.1;0.3
Kentavious Caldwell-Pope;10.8;8.3;2.4;2.3;0.5;1.5;0.5;1.1
Facundo Campazzo;1.3;1.6;1.1;0.3;0.0;0.8;0.0;0.4
Vlatko ÄåanÄçar;5.0;3.8;1.3;1.7;0.4;0.4;0.2;0.6
Clint Capela;12.0;8.2;0.9;7.1;4.0;0.7;1.2;0.8
Vernon Carey Jr.;0.5;0.7;0.3;0.7;0.3;0.2;0.2;0.2
Jevon Carter;8.0;7.0;2.4;2.1;0.4;0.8;0.4;1.0
