Team_ID,Name,Abbr,Nickname,Year_Founded,City,Arena,Capacity,Owner,Manager
1610612744,Golden State Warriors,GSW,Warriors,1946,Golden State,Chase Center,19596,Joe Lacob,Bob Myers
1610612745,Houston Rockets,HOU,Rockets,1967,Houston,Toyota Center,18104,Tilman Fertitta,Daryl Morey
1610612740,New Orleans Pelicans,NOP,Pelicans,2002,New Orleans,Smoothie King Center,10000,Tom Benson,Trajan Langdon
1610612761,Toronto Raptors,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800,Maple Leaf Sports and Entertainment,Masai Ujiri
1610612739,Cleveland Cavaliers,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,Koby Altman
1610612743,Denver Nuggets,DEN,Nuggets,1976,Denver,Pepsi Center,19099,Stan Kroenke,Tim Connelly
1610612755,Philadelphia 76ers,PHI,76ers,1949,Philadelphia,Wells Fargo Center,10000,Joshua Harris,Elton Brand
1610612750,Minnesota Timberwolves,MIN,Timberwolves,1989,Minnesota,Target Center,19356,Glen Taylor,Scott Layden
1610612746,Los Angeles Clippers,LAC,Clippers,1970,Los Angeles,Staples Center,19060,Steve Ballmer,Michael Winger
1610612766,Charlotte Hornets,CHA,Hornets,1950,Not Available,Not Available,10000,Not Avaialable,Not Avaialable
1610612747,Los Angeles Lakers,LAL,Lakers,1948,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Rob Pelinka
1610612760,Oklahoma City Thunder,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163,Clay Bennett,Sam Presti
1610612764,Washington Wizards,WAS,Wizards,1961,Washington,Capital One Arena,20647,Ted Leonsis,Tommy Sheppard
1610612751,Brooklyn Nets,BKN,Nets,1950,Not Available,Not Available,10000,Not Avaialable,Not Avaialable
1610612749,Milwaukee Bucks,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500,Wesley Edens & Marc Lasry,Jon Horst
1610612757,Portland Trail Blazers,POR,Trail Blazers,1970,Portland,Moda Center,19980,Paul Allen,Neil Olshey
1610612754,Indiana Pacers,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Kevin Pritchard
1610612752,New York Knicks,NYK,Knicks,1946,New York,Madison Square Garden,19763,Cablevision (James Dolan),Steve Mills
1610612762,Utah Jazz,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148,Greg Miller,Dennis Lindsey
1610612738,Boston Celtics,BOS,Celtics,1946,Boston,TD Garden,18624,Wyc Grousbeck,Danny Ainge
1610612756,Phoenix Suns,PHX,Suns,1950,Not Available,Not Available,10000,Not Avaialable,Not Avaialable
1610612765,Detroit Pistons,DET,Pistons,1948,Detroit,Little Caesars Arena,21000,Tom Gores,Ed Stefanski
1610612748,Miami Heat,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600,Micky Arison,Pat Riley
1610612753,Orlando Magic,ORL,Magic,1989,Orlando,Amway Center,0,Rick DeVos,John Hammond
1610612737,Atlanta Hawks,ATL,Hawks,1949,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk
1610612741,Chicago Bulls,CHI,Bulls,1966,Chicago,United Center,21711,Jerry Reinsdorf,Gar Forman
1610612759,San Antonio Spurs,SAS,Spurs,1976,San Antonio,AT&T Center,18694,Peter Holt,Brian Wright
1610612742,Dallas Mavericks,DAL,Mavericks,1980,Dallas,American Airlines Center,19200,Mark Cuban,Donnie Nelson
1610612763,Memphis Grizzlies,MEM,Grizzlies,1995,Memphis,FedExForum,18119,Robert Pera,Zach Kleiman
1610612758,Sacramento Kings,SAC,Kings,1948,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Vlade Divac
